parent_chembl_id,pStandard,pStandard_mean,pStandard_std,n_measurements,n_assays,n_molecule_ids,parent_smiles
CHEMBL100231,7.716491524770765,7.716430339296914,0.6553691395010737,4,4,1,CC(C)c1ccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCCC3)cc2)cc1
CHEMBL100595,7.565073313949604,7.565069944243346,0.2632363767285586,4,4,1,CC(C)c1cccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCCC3)cc2)c1
CHEMBL100617,8.311967139206915,8.311870355806171,0.9735207211543088,4,4,1,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(O)c1
CHEMBL100763,8.024959008007885,8.025010077994724,0.526789379220464,4,4,1,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(Cl)cc1
CHEMBL101083,8.070617143258874,8.070617143258874,0.751150029806949,4,4,1,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(F)cc1
CHEMBL101382,7.751881227416632,7.751955782651681,0.03559284737086071,4,4,1,Oc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(OCCN2CCCCC2)cc1
CHEMBL101719,7.426038230509697,7.426038230509697,0.3921565831449952,2,2,1,CN(C)c1cccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCCC3)cc2)c1
CHEMBL101807,8.06153907841271,8.061426702738911,0.6046011711901303,4,4,1,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1ccccc1
CHEMBL101997,8.152469405993644,8.152364283874272,0.7430679837219897,4,4,1,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(F)cc1
CHEMBL103294,7.98234718184141,7.9824212784939395,0.6078658806432473,4,4,1,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(Cl)cc1
CHEMBL103305,7.828384352717981,7.828388293576959,0.5987073011968818,4,4,1,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(Cl)c1
