activity_id,target_chembl_id,molecule_chembl_id,canonical_smiles,standard_value,standard_units,pchembl_value,pStandard,assay_chembl_id,bao_label
72003,CHEMBL206,CHEMBL431611,Oc1ccc2c(c1)S[C@H](C1CCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,2.5,nM,8.60,8.6,CHEMBL679321,single protein format
74062,CHEMBL206,CHEMBL316132,Oc1ccc2c(c1)S[C@H](C1CCCCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,7.5,nM,8.12,8.12,CHEMBL679321,single protein format
76289,CHEMBL206,CHEMBL304552,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,3.1,nM,8.51,8.51,CHEMBL679321,single protein format
77402,CHEMBL206,CHEMBL85881,Oc1ccc2c(c1)S[C@H](CC1CCCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,3.9,nM,8.41,8.41,CHEMBL679321,single protein format
78475,CHEMBL206,CHEMBL85536,Oc1ccc2c(c1)S[C@H](Cc1ccccc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,7.4,nM,8.13,8.13,CHEMBL679321,single protein format
79564,CHEMBL206,CHEMBL83451,Oc1ccc2c(c1)S[C@H](c1ccncc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,490.0,nM,6.31,6.31,CHEMBL679321,single protein format
80685,CHEMBL206,CHEMBL267385,Oc1ccc(C2=Cc3cc(O)ccc3C23Cc2ccc(OCCN4CCCCC4)cc2C3)cc1,1.0,nM,9.00,9.0,CHEMBL679322,single protein format
83998,CHEMBL206,CHEMBL315761,Oc1ccc2c(c1)S[C@H](c1ccco1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,35.0,nM,7.46,7.46,CHEMBL679321,single protein format
84949,CHEMBL206,CHEMBL281499,Oc1ccc(C2=Cc3cc(O)ccc3C23Cc2ccccc2C3)cc1,4.3,nM,8.37,8.37,CHEMBL679322,single protein format
85944,CHEMBL206,CHEMBL25228,O=C1c2ccccc2C(=O)C12C(c1ccc(O)cc1)=Cc1cc(O)ccc12,91.0,nM,7.04,7.04,CHEMBL679322,single protein format
86956,CHEMBL206,CHEMBL432454,O=C1c2ccc(OCCN3CCCCC3)cc2C(=O)C12C(c1ccc(O)cc1)=Cc1cc(O)ccc12,172.0,nM,6.76,6.76,CHEMBL679322,single protein format
88011,CHEMBL206,CHEMBL24950,Oc1cccc(C2=Cc3cc(O)ccc3C23Cc2ccccc2C3)c1,35.0,nM,7.46,7.46,CHEMBL679322,single protein format
88026,CHEMBL206,CHEMBL419110,CC(C)(C)[C@H]1Sc2cc(O)ccc2O[C@H]1c1ccc(OCCN2CCCCC2)cc1,11.0,nM,7.96,7.96,CHEMBL679321,single protein format
88031,CHEMBL206,CHEMBL85090,Oc1ccc2c(c1)S[C@H](C1CCCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,2.6,nM,8.59,8.59,CHEMBL679321,single protein format
89900,CHEMBL206,CHEMBL83060,Oc1ccc2c(c1)S[C@H](c1cccnc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,542.0,nM,6.27,6.27,CHEMBL679321,single protein format
90912,CHEMBL206,CHEMBL85650,CC(C)C[C@H]1Sc2cc(O)ccc2O[C@H]1c1ccc(OCCN2CCCCC2)cc1,3.0,nM,8.52,8.52,CHEMBL679321,single protein format
99979,CHEMBL206,CHEMBL313941,Oc1ccc(C[C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,2.7,nM,8.57,8.57,CHEMBL679321,single protein format
99984,CHEMBL206,CHEMBL313825,CC(C)[C@H]1Sc2cc(O)ccc2O[C@H]1c1ccc(OCCN2CCCCC2)cc1,7.0,nM,8.15,8.15,CHEMBL679321,single protein format
102959,CHEMBL206,CHEMBL25580,O=C1c2ccccc2C(=O)C12C(c1cccc(O)c1)=Cc1cc(O)ccc12,366.0,nM,6.44,6.44,CHEMBL679322,single protein format
102968,CHEMBL206,CHEMBL83623,Oc1ccc2c(c1)S[C@H](c1cccs1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,8.8,nM,8.06,8.06,CHEMBL679321,single protein format
102973,CHEMBL206,CHEMBL315271,Oc1ccc2c(c1)S[C@H](CC1CCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,3.0,nM,8.52,8.52,CHEMBL679321,single protein format
