parent_smiles,parent_chembl_id,pStandard,pStandard_mean,pStandard_std,pStandard_min,pStandard_max,n_measurements,n_assays,pStandard_range,activity_conflict,MolWt,MolLogP,HBD,HBA,Lipinski_violations,passes_Lipinski
Brc1ccc2[nH]c(-c3cc4ccccc4n3Cc3ccccc3)nc2c1,CHEMBL4169456,7.13,7.13,0.0,7.13,7.13,1,1,0.0,False,402.29500000000013,5.9954000000000045,1,1,1,False
Brc1cnc2[nH]c(-c3cc4ccccc4n3Cc3ccccc3)nc2c1,CHEMBL4164944,6.52,6.52,0.0,6.52,6.52,1,1,0.0,False,403.2830000000002,5.390400000000004,1,2,1,False
C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4C=C(C)CC[C@]4(C=C)[C@H]3CC[C@@]21C,CHEMBL249904,5.73,5.73,0.0,5.73,5.73,1,1,0.0,False,322.4920000000001,5.035800000000005,1,1,1,False
C/C(=C(/c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,CHEMBL3774660,8.89,8.89,0.0,8.89,8.89,1,1,0.0,False,373.49600000000004,5.311600000000005,1,3,1,False
C/C(=C(/c1ccc(O)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1,CHEMBL3775016,9.1,9.1,0.0,9.1,9.1,1,1,0.0,False,399.5340000000001,5.845800000000006,1,3,1,False
C/C(=C(/c1ccc(O)cc1)c1ccc(OCCN2CCCCC2)cc1)c1ccccc1,CHEMBL3774647,9.4,9.4,0.0,9.4,9.4,1,1,0.0,False,413.56100000000015,6.235900000000006,1,3,1,False
C=CCCC[C@](C)(NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1cnc[nH]1)NC(C)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@](C)(CCCC=C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(N)=O,CHEMBL4244548,5.92,5.92,0.0,5.92,5.92,1,1,0.0,False,1424.6709999999998,-3.5319999999999996,19,19,3,False
C=C[C@]12CCC(C)=CC1=CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,CHEMBL398634,5.36,5.36,0.0,5.36,5.36,1,1,0.0,False,312.497,5.4225000000000065,1,1,1,False
C=C[C@]12CCC(C)=CC1=CC[C@H]1[C@@H]3CC[C@H](O)[C@@]3(C)CC[C@@H]12,CHEMBL398456,5.84,5.84,0.0,5.84,5.84,1,1,0.0,False,298.47,5.032400000000005,1,1,1,False
C=C[C@]12CCC(CC)=CC1=CC[C@H]1[C@@H]3CC[C@H](O)[C@@]3(C)CC[C@@H]12,CHEMBL249903,5.51,5.51,0.0,5.51,5.51,1,1,0.0,False,312.4970000000001,5.4225000000000065,1,1,1,False
C=C[C@]12CCC(Cl)=CC1=CC[C@H]1[C@@H]3CC[C@H](O)[C@@]3(C)CC[C@@H]12,CHEMBL430395,5.24,5.24,0.0,5.24,5.24,1,1,0.0,False,318.8880000000001,5.208800000000005,1,1,1,False
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,CHEMBL1276308,5.3,5.3,0.0,5.3,5.3,2,2,0.0,False,429.6040000000001,5.406500000000006,1,3,1,False
CC(=O)/C=C/c1ccc(C2=C(c3ccc(O)cc3)CCOc3cc(F)ccc32)cc1,CHEMBL4227881,7.23,7.23,0.0,7.23,7.23,1,1,0.0,False,400.4490000000001,5.875100000000005,1,3,1,False
CC(=O)C1(C(C)=O)Cc2ccc([C@]3(O)CC[C@H]4[C@@H]5CCc6cc(O)ccc6[C@H]5CC[C@@]43C)cc2C1,CHEMBL1094732,6.61,6.61,0.0,6.61,6.61,1,1,0.0,False,472.62500000000034,5.399100000000005,2,4,1,False
CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@]1(C)CCC/C=C\CCC[C@@](C)(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(C)C)NC1=O,CHEMBL4243758,6.12,6.12,0.0,6.12,6.12,1,1,0.0,False,1396.6170000000004,-4.334200000000003,19,19,3,False
CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@]1(C)CCC/C=C\CCC[C@@](C)(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(C)C)NC1=O,CHEMBL4247551,6.41,6.41,0.0,6.41,6.41,1,1,0.0,False,1424.6750000000006,-4.3364299999999965,21,19,3,False
CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@]1(C)CCC/C=C\C[C@@H](C)C[C@@](C)(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(C)C)NC1=O,CHEMBL4251378,5.75,5.75,0.0,5.75,5.75,1,1,0.0,False,1438.7020000000005,-4.090429999999996,21,19,3,False
CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@]1(C)C[C@@H](C)C/C=C\CCC[C@@](C)(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(C)C)NC1=O,CHEMBL4247291,7.05,7.05,0.0,7.05,7.05,1,1,0.0,False,1438.7020000000005,-4.090429999999996,21,19,3,False
CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@]1(C)C[C@H](C)C/C=C\CCC[C@@](C)(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(C)C)NC1=O,CHEMBL4247401,7.02,7.02,0.0,7.02,7.02,1,1,0.0,False,1438.7020000000005,-4.090429999999996,21,19,3,False
CC(=O)Oc1ccc(/C(=C(/C)c2ccccc2)c2ccc(OCCN3CCCC3)cc2)cc1,CHEMBL3775434,8.11,8.11,0.0,8.11,8.11,1,1,0.0,False,441.5710000000003,6.065500000000006,0,4,1,False
CC(=O)Oc1ccc(/C(=C(/C)c2ccccc2)c2ccc(OCCN3CCCCC3)cc2)cc1,CHEMBL3775283,7.91,7.91,0.0,7.91,7.91,1,1,0.0,False,455.59800000000035,6.455600000000007,0,4,1,False
CC(=O)Oc1ccc(/C(=C(\C)c2ccccc2)c2ccc(OCCN(C)C)cc2)cc1,CHEMBL3775129,7.66,7.66,0.0,7.66,7.66,1,1,0.0,False,415.5330000000002,5.531300000000005,0,4,1,False
CC(C)(C)OC(=O)N1CCN(c2ccc(/C(=C(/CCCO)c3ccccc3)c3ccc(Br)cc3)cc2)CC1,CHEMBL6044782,5.06,5.06,0.0,5.06,5.06,2,2,0.0,False,577.5630000000001,7.237800000000008,1,4,2,False
CC(C)(C)OC(=O)[C@@H](CCC(=O)N1CCN(c2ccc(C#N)cc2)CC1)n1c(=S)[nH]c2ccccc2c1=O,CHEMBL1356953,7.1,7.1,0.0,7.1,7.1,1,1,0.0,False,533.6540000000002,3.9425700000000026,1,7,1,False
CC(C)(C)[C@H]1Sc2cc(O)ccc2O[C@H]1c1ccc(OCCN2CCCCC2)cc1,CHEMBL419110,7.96,7.96,0.0,7.96,7.96,1,1,0.0,False,427.61000000000035,5.897400000000006,1,5,1,False
CC(C)(COc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1)N1CCCC1,CHEMBL179852,9.15,9.15,0.0,9.15,9.15,1,1,0.0,False,477.62600000000026,6.318100000000008,2,6,1,False
CC(C)(F)CN1CCc2cc(O)ccc2C1c1ccc(OCCCOc2ccc(C(=O)NO)cc2)cc1,CHEMBL5085006,6.88,6.88,0.0,6.88,6.88,1,1,0.0,False,508.5900000000004,5.054700000000004,3,6,2,False
