parent_smiles,parent_chembl_id,pStandard,pStandard_mean,pStandard_std,pStandard_min,pStandard_max,n_measurements,n_assays,pStandard_range,activity_conflict,MolWt,MolLogP,HBD,HBA,Lipinski_violations,passes_Lipinski
BrC1=CN2NC(c3cc4ccccc4n3Cc3ccccc3)=NC2N=C1,CHEMBL4171721,6.27,6.27,0.0,6.27,6.27,1,1,0.0,False,406.2870000000001,3.8607000000000022,1,4,0,True
Brc1ccc(-c2nnc(-c3cccnc3)c3conc23)cc1,CHEMBL1613068,5.18,5.18,0.0,5.18,5.18,1,1,0.0,False,353.1790000000001,4.109300000000002,0,5,0,True
Brc1ccc2[nH]c(-c3cc4ccccc4[nH]3)nc2c1,CHEMBL4167567,7.09,7.09,0.0,7.09,7.09,1,1,0.0,False,312.17,4.473700000000003,2,1,0,True
Brc1ccc2[nH]c(-c3cc4ccccc4n3Cc3ccccc3)nc2c1,CHEMBL4169456,7.13,7.13,0.0,7.13,7.13,1,1,0.0,False,402.29500000000013,5.9954000000000045,1,1,1,False
Brc1cnc2[nH]c(-c3cc4ccccc4n3Cc3ccccc3)nc2c1,CHEMBL4164944,6.52,6.52,0.0,6.52,6.52,1,1,0.0,False,403.2830000000002,5.390400000000004,1,2,1,False
C#CC[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2O,CHEMBL203561,5.33,5.33,0.0,5.33,5.33,1,1,0.0,False,314.46900000000005,3.6744000000000026,2,2,0,True
C#C[C@]1(O)CCC2C3CC=C4C[C@@H](O)CC[C@]4(C=C)C3CC[C@@]21C,CHEMBL381566,6.83,6.83,0.0,6.83,6.83,1,1,0.0,False,326.48000000000013,3.840500000000003,2,2,0,True
C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4C=C(C)CC[C@]4(C=C)[C@H]3CC[C@@]21C,CHEMBL249904,5.73,5.73,0.0,5.73,5.73,1,1,0.0,False,322.4920000000001,5.035800000000005,1,1,1,False
C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C=C)[C@H]3CC[C@@]21C,CHEMBL398841,6.82,6.82,0.0,6.82,6.82,1,1,0.0,False,326.48000000000013,3.840500000000003,2,2,0,True
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,CHEMBL691,8.399999999999999,8.399999999999999,0.4242640687119276,8.1,8.7,2,2,0.5999999999999996,False,296.4100000000001,3.6126000000000023,2,2,0,True
C#C[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2O,CHEMBL437065,6.37,6.37,0.0,6.37,6.37,1,1,0.0,False,300.442,3.284300000000002,2,2,0,True
C#Cc1cc(-c2cc(F)c(O)c(F)c2)nc2ccc(O)cc12,CHEMBL198204,5.32,5.32,0.0,5.32,5.32,1,1,0.0,False,297.26,3.5725000000000007,2,3,0,True
